waypoint1	waypoint2	distance_m	duration_s
Yellowstone National Park, WY 82190	Congress Hall, Congress Place, Cape May, NJ 08204	3609552	122736
Terrace Hill, Grand Avenue, Des Moines, IA	Carlsbad Caverns National Park, Carlsbad, NM	1775662	59413
Yellowstone National Park, WY 82190	Fort Snelling, Tower Avenue, Saint Paul, MN	1822887	63424
Yellowstone National Park, WY 82190	USS Constitution, Boston, MA	3834982	129734
Yellowstone National Park, WY 82190	Carlsbad Caverns National Park, Carlsbad, NM	1844673	68098
Wright Brothers National Memorial Visitor Center, Manteo, NC	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1179764	41529
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Acadia National Park, Maine	597641	21484
New Castle Historic District, Delaware	Craters of the Moon National Monument & Preserve, Arco, ID	3799354	125541
Acadia National Park, Maine	USS Constitution, Boston, MA	443026	16407
White House, Pennsylvania Avenue Northwest, Washington, DC	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	809619	28303
Shelburne Farms, Harbor Road, Shelburne, VT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	192561	8353
Gateway Arch, Washington Avenue, St Louis, MO	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2008965	68904
Glacier National Park, West Glacier, MT	Carlsbad Caverns National Park, Carlsbad, NM	2483417	84123
Fort Sumter National Monument, Sullivan's Island, SC	Graceland, Elvis Presley Boulevard, Memphis, TN	1084382	36001
Grand Canyon National Park, Arizona	Yellowstone National Park, WY 82190	1142593	44155
Hanford Site, Benton County, WA	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3530579	115291
Shelburne Farms, Harbor Road, Shelburne, VT	Liberty Bell, 6th Street, Philadelphia, PA	603814	22891
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Maryland State House, 100 State Cir, Annapolis, MD 21401	2663590	87283
